text,is_intervention,is_in
intellig integr network age peopl age popul increas health risk percentag old singl grow tremend loneli fear common among elderli peopl seem relat found `` threat '' good life old age ict technolog innov field offer opportun bring independ live old age smart home consum electron develop make manag home everyday live lot easier older peopl autom domot hous n't risk take away social contact old user still human be autom domot hous n't risk take away social contact old user still human be intellig hous old peopl consid three class function safeti secur environ comfort sanitari surveil activ carri respect secur safeti privaci user paper propos architectur allow maximum help old peopl respect need organ two logic network daili support network dsn villag network vn focu architectur base human aspect elderli peopl need improv qualiti life elderli peopl caregiv final goal facilit independ isol good social life insid one 's home long possibl,0,0
evalu commun plan life senior cohous project northern european countri cohous scheme evolv altern hous reduc housework work women reduc loneli elderli peopl promot activ mutual relationship commun resid northern european countri articl discuss resid manag life senior cohous project sweden denmark purpos studi investig resid life satisfact connect demograph characterist resid physic environ common activ senior cohous commun could offer usabl inform establish new senior cohous project countri well empir evalu exist project scandinavian countri import variabl influenti resid life satisfact also discuss order improv senior citizen qualiti life method use studi literatur review interview field trip questionnair nine hundr thirty-f postal questionnar sent 28 senior cohous commun throughout denmark sweden 536 repli collect analys spss program use frequenc mean chi-squar test result found respond healthi 70-year-old satisfi current live commun major also would like strongli recommend other move senior cohous scheme improv qualiti life later year resid intens concern build locat design noteworthi remind design architect well profession decision-mak work elderli welfar sector,1,0
senior center tradit evolv role first senior center unit state william hodson commun center new york citi open door 1943. purpos reach peopl retir need place gather stay connect other senior center serv entri point age servic network protect social isol one popular percept senior center welfar program inhibit mani elder seek servic need dispel center offer low-cost meal provid institution-lik servic divers vital institut recent studi indic particip senior center declin center personnel look new way reach `` young- old '' yet particip `` old-old '' may face challeng get center pharmacist ideal posit offer health well program caregiv educ set senior center also good place train student often surpris rang senior interest cognit abil,1,0
geriatr vision loss due cataract macular degener glaucoma major caus impair vision elderli popul unit state cataract macular degener open-angl glaucoma cataract macular degener usual reduc central vision especi read near activ wherea chronic glaucoma characterist attack peripher vision silent way impact balanc walk drive untreat visual problem lead issu regard take medic keep track financ person inform walk watch televis attend theater often creat social isol thu visual impair individu enter nurs home 3 year earlier twice risk fall 4x risk hip fractur consequ mani elderli low vision exercis greater demand commun servic prospect littl improv sustain visual loss face poor toler low-vis servic accept magnif way read clinic depress common mani instanc howev earli accur diagnosi result time treatment preserv qualiti life review look current diagnost therapeut consider current 20.5 million peopl unit state cataract number reach 30 million 2020. 1.75 million american current form macular degener number estim increas 2.95 million 2020. approxim 2.2 million american glaucoma 2020 number estim close 3.4 million peopl projectedthat 2030 72.1 million senior overlap 3 group conserv estim add 2030 cataract group macular degener glaucoma group 1 2 senior individu 2030 may signific ocular diseas could account 50 healthcar budget elderli,1,0
morphin treatment juvenil isol increas social activ opioid peptid releas adult rat consequ juvenil isol morphin treatment gener activ social activ endogen opioid releas social interact test investig adult rat rat either isol social hous week 4 5 age treat daili isol period subcutan either salin morphin directli social interact test 10 week age rat inject 3h -diprenorphin subsequ prepar vivo autoradiographi autoradiograph techniqu use visualis neuroanatom chang opioid receptor occup probabl reflect chang opioid peptid releas result social activ juvenil isol increas gener activ social interact test effect accompani reduct opioid receptor occup mani brain area suggest increas opioid peptid releas consequ socially-induc gener activ morphin treatment isol rat caus increas adult social activ enhanc opioid peptid releas cortic region ventral tegment area compar salin treat rat social activ opioid receptor occup unaffect morphin treatment non-isol rat present studi underscor role opioid system adult social behavior consequ juvenil isol result suggest relationship social activ opioid peptid releas social contact increas social activ seem accompani elev opioid peptid releas distinct brain area morphin treatment juvenil isol,1,0
use assist technolog improv live older adult peopl disabl recent time use internet world wide web significantli impact live daili activ 2000-2011 use internet increas 151.7 within north america infrastructur part contin continu improv advanc technolog capabl internet world wide web individu commun potenti unfortun mani individu realiz age disabl chang interact two technolog technolog societi unit state gap young peopl older individu especi come use internet world wide web older individu less inclin use internet world wide web young peopl gener stereotyp older individu lone conserv closed-mind technolog howev younger individu understand effect age especi use mobil comput technolog one aspect research paper explor type educ tool exist help younger peopl understand effect age older individu experi loneli lead mental health condit includ depress addit older adult stimul cognit memori lead alzheim 's syndrom memori loss condit surprisingli increas older adult use internet commun howev still challeng older adult face technolog older individu may fix incom reli social secur disabl support creat problem comput expens purchas addit older adult may difficulti use comput far use hardwar softwar compon softwar obstacl includ small text size complex menu option high level stimul anim softwar compon also includ use internet world wide web research studi interact older adult use mainstream technolog although older individu peopl disabl increas use internet share common difficulti complic addit disabl often expand age complic older adult experi peopl disabl main struggl integr within today 's societi especi use comput technolog internet research also explor assist technolog softwar avail older individu peopl disabl emerg field open sourc assist technolog assist technolog improv qualiti life individu,1,0
get grandma onlin tablet answer increas digit inclus older adult u.s. use inform commun technolog ict improv older adult ’ qualiti life ict use associ decreas feel loneli depress along increas feel independ person growth howev limit access low technolog self-efficaci key reason group especi older adult exclud fulli engag digit world studi focu older adult ’ technolog self-efficaci relat actual use technolog second level digit divid specif examin older adult decid use new technolog tablet comput b conquer barrier technolog self-efficaci use tablet c impact use new technolog live twenty-on in-depth interview conduct older adult resid independ live commun medium-s citi deep south region unit state observ enact learn play import role older adult use tablet see other use tablet get recommend famili member tablet given primari reason start use tablet comput eas use featur tablet help solv problem lack technolog self-efficaci use tablet help increas sens connected tablet comput may one way increas digit inclus among older adult,0,0
social isol older peopl role domest technolog paper explor role domest technolog address social isol older peopl despit increas use inform commun technolog social isol remain issu amongst older peopl assist technolog address import health need lack social technolog adequ deal social isol paper contribut knowledg everyday life older peopl purpos design appropri social technolog present overview find three-stag study-an expert survey field studi design workshop-and describ set need inform design technolog amelior social isol older peopl author chisig,1,0
empow integr senior citizen virtual coach workshop summari europ 's age popul increas number older peopl live alon geograph distant kin loneli turn preval issu might involv deleteri consequ older person societi depress increas use healthcar servic virtual coach act friend para-soci relationship also mentor help elderli end-us creat meaning relationship actual social environ power method overcom loneli increas qualiti life elderli popul aal joint programm project a2e2 aal-2008-1-071 v2me aal-2009-2-107 explor virtual coach applic aal scenario includ use user avatar virtual self-represent allow user repres commun scenario european research project focu social integr elderli e.g alic aal-2009-2-091 wecar aal-2009-2-026 outsid european union neg implic popul age observ japan even larger proport senior citizen use individual-centr devic robot pet 1 improv qualiti life lone elderli person user group involv often acquaint modern ict system therefor challeng creat intuit adapt platform cater individu need allow user interact easili,0,0
impact senior center friendship age women live alon elderli women live alon consid greater risk loneli depress decreas mobil paper examin influenc late-lif friendship senior center activ health well-b age women live alon base find 274 women live alon found senior center excel environ new support friendship easili form friendship center activ posit mental physic outcom use comparison group 171 elderli women live spous discov women live alon particip center activ frequent result also creat social network extend outsid center environ,1,0
cope age fail health qualit studi among elderli live alon purpos studi gain comprehens understand elderli cope sick unhealthi live alon qualit research interview use hermeneut approach undertaken explor patient experienc cope daili life twenti patient averag age 82 year differ injuri diseas interview interview audiotap transcrib analys hermeneut tradit hermeneut circl part-whol pre-understanding-understand primari secondari basic theme find show even physic constraint put limit level activ elderli abl adapt carri differ activ requir physic strength main cope strategi accept situat accept often colour resign passiv accept elderli tend passiv resign necessari commun nurs activ problem-solv approach patient order help creat daili rhythm feel comfort,1,0
portrait loneli emerg theme among community-dwel older adult age come multitud possibl loss includ loss health spous friend independ loss place older adult risk isol loneli loneli signific concern older adult neg affect qualiti life interpret phenomenolog studi conduct explor mean loneli 12 older adult live commun select excerpt particip reveal sever theme well import maintain meaning connect relationship other allevi feel loneli nurs becom attun problem loneli older adult import help older client maintain meaning connect other reduc loneli,1,0
nurs intervent assist decreas stress caregiv alzheim 's patients.. alzheim 's diseas ad progress degen neurolog diseas brain common caus cognit impair older adult affect peopl beyond 65 year age rang although ad may affect peopl younger definit pain stress experi patient well love one mani stressor involv care person affect ad loneli depress cope unpredict patient behavior lack knowledg regard care ad patient etc monitor safeti ad patient take care basic need sometim challeng caregiv nurs intervent would includ encourag caregiv learn diseas understand avail commun social support understand legal financi issu,1,0
live within limit activ restrict older peopl experienc chronic pain background although maintain activ key success pain manag import health wellb known older peopl pain frequent alter reduc activ level 'fear-avoid model often use explain avoid activ face pain howev model intend take account wider context activ chang take place older peopl 's explan behaviour object investig reason older peopl commun adjust activ level live chronic pain method thirty-on peopl age 67 92 purpos sampl respond community-bas cross-sect survey particip report long-term pain interview data collect analys use qualit constructivist ground theori approach find explan delib reduct ceas activ reflect desir prevent pain exacerb therebi avoid medic intervent also reflect desir safeguard autonomi face pain older age restrict often rationalis normal older age although co-exist account persever frustrat limit also evid conclus ration desir avoid pain exacerb medic intervent motiv restrict activ howev delib limit activ potenti compromis autonomi increas social isol de-condit support older peopl pain activ requir sensit function activ restrict especi mean prevent deterior,1,0
suicid patient long-term care institutions.. comparison older adult live commun elder institution older sicker like live famili member factor place risk suicid somat physic suffer frequent overlook symptom elderli depress perhap fals assum symptom express older adult normal concomit age strengthen extend exist famili role support elder suicid depress vital reduc loneli emot pain loss independ increas self-concept expand knowledg mental health need older adult famili critic suicid prevent major step toward prevent recognit depress symptomatolog key element clue suicid institution elderli,1,0
"disposit optim loneli older men background disposit optim defin gener tendenc posit outcom expect associ well-b success age howev remain unclear whether optim also correl less feel loneli time aim determin whether disposit optim prospect associ less feel loneli independ potenti confound inher age process method observ 416 older men age 70 89 year mean 74.9year standard deviat sd 4.7 year within population-bas zutphen elderli studi 10 year follow-up baselin disposit optim assess use four-item questionnair presenc feel loneli main outcom studi assess use 11-item loneli scale de jong gierveld year 1990 1993 1995 2000. associ baselin disposit optim loneli time test use multilevel regress analysi adjust potenti confound i.e age live arrang social contact widowhood membership self-rat health depress symptom result feel loneli significantli increas 10year follow-up show tempor stabil reliabl coeffici 0.78 low baselin disposit optim strongli associ loneli time also adjust analysi 1 sd increas baselin disposit optim associ 0.14 sd 95 confid interv 0.04-0.23 lower level loneli f1,3207.8 p=0.006 conclus disposit optim correl lower feel loneli time older men independ depress chang social network",1,0
"associ social isol health across differ racial ethnic group older american social isol social public health problem affect peopl age especi elder previou studi found social isol across numer industrialis countri associ neg health outcom howev unknown whether associ differ race/ethn age begin address gap studi examin associ social isol physic mental health among black white hispan elder unit state america build cornwel wait 's perceiv isol social disconnected dimens model social isol author use multi-stag survey data nation repres sampl 3,005 community-resid adult age 57-85 nation social life health age project test associ conduct health age gender marit statu educ race/ethn separ multivari logist regress use test associ social isol health exclus separ among three group result show social isol strongli associ physic mental health perceiv isol social disconnected signific neg associ physic mental health among white elder black social disconnected neg associ physic health perceiv isol neg associ mental health among hispan elder seem associ social isol physic health signific neg associ found mental health despit variou associ pattern howev social isol overal associ health outcom similar across three elder group identifi factor influenc social isol health among minor older american studi relev develop cultur sensit health-car practic servic may applic minor elder differ countri",1,0
eat habit appetit control elderli anorexia age although high preval overweight present elderli peopl main concern elderli report declin food intak loss motiv eat suggest presenc problem associ regul energi balanc control food intak reduc energi intak caus bodi weight loss may caus social physiolog factor combin poverti loneli social isol predomin social factor contribut decreas food intak elderli depress often associ loss deterior social network common psycholog problem elderli signific caus loss appetit reduct food intak may due reduc drive eat hunger result lower need state aris rapidli act potent inhibitori satieti signal earli satiat appear predominantli due decreas adapt relax stomach fundu result earli antral fill increas level effect cholecystokinin play role anorexia age central feed drive opioid neuropeptid effect appear declin age physic factor poor dentit ill-fit dentur age-associ chang tast smell may influenc food choic limit type quantiti food eaten older peopl common medic condit elderli gastrointestin diseas malabsorpt syndrom acut chronic infect hypermetabol often caus anorexia micronutri defici increas energi protein requir furthermor elderli major user prescript medic number caus malabsorpt nutrient gastrointestin symptom loss appetit good evid although age-rel reduct energi intak larg physiolog effect healthi age may predispos harm anorect effect psycholog social physic problem becom increasingli frequent age poor nutrit statu implic develop progress chronic diseas commonli affect elderli protein-energi malnutrit associ impair muscl function decreas bone mass immun dysfunct anemia reduc cognit function poor wound heal delay recoveri surgeri ultim increas morbid mortal increas understand factor contribut poor nutrit elderli enabl develop appropri prevent treatment strategi improv health older peopl,1,0
much hurt lone mental physic differ older men women kora-ag studi object loneli deep impact qualiti life older peopl find sex-specif differ experi loneli remain spars studi compar intens factor associ loneli men women method analys base 2008/2009 data kora-ag studi compris 4127 particip age rang 64-94 year age-stratifi random subsampl 1079 subject particip face-to-fac interview loneli measur use short german version ucla-loneliness-scal 12 item likert scale rang 0 36 point multipl logist regress analysi conduct analyz associ socio-demograph physic psycholog factor loneli result mean level loneli significantli differ men 17.0 ± 4.5 women 17.5 ± 5.1 howev among oldest old ≥85 year loneli higher women p valu 0.047 depress low satisfact life low resili associ significantli loneli pronounc men live alon associ loneli wherea lower social network associ three time higher risk feel lone men women conclus extent loneli equal distribut men women although women disadvantag regard live arrang well physic mental health howev loneli stronger associ advers mental health condit men find consid develop intervent strategi reduc loneli,1,0
global sleep satisfact older peopl jerusalem cohort studi object describ natur global sleep satisfact gss older peopl factor associ design 7-year follow-up age-homogen cohort set commun base particip two hundr nineti subject age 70 baselin 77 follow-up measur self-report sleep domain comprehens assess health variabl includ psychosoci physic function factor age 70 77. result gss found poor 25 subject age 70 77 estim averag annual remiss rate 7 annual incid 2.4 poor gss age 70 77 significantli associ difficulti fall asleep awaken feel tire two nocturn awaken take sleep tablet signific cross-sect associ found age 70 77 poor gss poor self-rat health gener fatigu depress depend one activ daili live low level physic activ regress analysi risk factor age 70 subsequ poor gss loneli depress poor self-rat health econom difficulti back pain obes prior poor gss signific long-term associ poor gss poor self-rat health gss influenc mortal data conclus poor gss older peopl common chronic chief determin loneli depress poor self-rat health econom difficulti back pain obes predict poor self-rat health increas mortal,1,0
care elderli gener practic socio-med reassess need develop nation polici cope ever-increas problem age popul also necessari defin role variou bodi individu respons care elderli local level develop polici reassess statu place elderli commun must carri pension must provid enabl old folk live independ comfort respect age retir must care consid gener present offici age retir least 10–15 year advanc natur old age 70–75 physic mental disabl becom manifest everi effort therefor made encourag peopl remain work beyond present retir level first principl care elderli encourag mainten mental physic independ long possibl begin fail upon famili famili doctor burden fall import famili shown fact suburban practic 86 70 year age regular contact famili remain 14 —the “ isol ” —present great problem fell ill. famili whatev import day expect provid alon care age assist requir social medic carri task arrang variou form domiciliari help medic offic health must occupi vital place must act co-ordin consult social medicin avail constantli help famili doctor provid ancillari servic may necessari keep old patient home well care actual manag age sick essenti realiz special diseas old age present mere result modif degen process commonest caus morbid disabl found cardiac failur chronic bronchiti variou form “ rheumatism. ” pitfal diagnosi scope cur therapi discuss famili doctor plan work field essenti prevent basi earli diagnosi curabl major minor disord prevent social loneli boredom poverti carri task import establish maintain close contact one 's age patient stress valu special clinic elderli note present still phase transit develop welfar state futur present great scope develop medic social servic cope problem age,1,0
psychosoci perspect health care util among frail elderli peopl explor studi aim explor relationship health care util 2 year psychosoci variabl measur end period sampl older peopl high health care consumpt sixty-thre peopl age 69-96 year includ studi data collect two differ regist cover health care util 2004 end 2008 baselin data ongo rct cluster analysi base health care util variabl use divid sampl subgroup cluster analysi result two cluster three cluster solut latter found appropri clearli discrimin group regard health care util psychosoci variabl three cluster classifi `` high consum '' cluster `` low consum '' cluster ii iii cluster ii seem character low outpati high inpati care util opposit util pattern seen cluster iii also contain largest social network lowest risk depress highest life satisfact felt least lone cluster ii contain felt loneliest thu older peopl whose health care consumpt mainli compris outpati care appear least impact psychosoci variabl e.g. highest life satisfact felt least lone lowest risk depress thu measur taken prevent health care util especi among high util inpati care like posit effect psychosoci variabl life satisfaction/qu life qol,1,0
person resourc support live home describ older home care client studi describ person resourc older ≥ 75 year home care client finland percept factor enhanc constrain abil live independ home data collect unstructur interview 21 older home care client induct content analysi use analys data resourc older peopl consist sens control one 's life determin remain activ factor enhanc older peopl 's resourc involv leisur activ social network factor undermin resourc condit live impos outsid declin health loneli result show home care profession yet suffici skill abil identifi support older peopl 's exist resourc well access necessari resourc also crucial older peopl know use,1,0
paul suit,1,0
design interperson commun softwar abil elderli user feel loneli social isol occur mani older adult impair may occur old age reduc mobil deterior sight deterior hear prevent elderli adult visit friend famili interperson commun softwar -such facebook messeng skype use keep bond love one strong long distanc howev sometim applic confus difficult elderli peopl use design creat consider varieti abil older user may could prompt elderli user use interperson commun softwar assist fight reduc loneli social isol older adult paper highlight design interperson commun softwar elderli adult use properli design chat softwar would allow elderli user quickli commun friend via interfac design differ abil elderli user mind,0,0
age leisur social connected could leisur help reduc social isol older peopl studi investig relat leisur activ social statu elderli base heterogen sampl dutch popul close relationship also analyz identifi peopl could serv success stimul leisur particip social profil confirm older peopl fewer social contact often feel lone studi show leisur activ explain signific part older peopl 's social connected voluntari work cultur activ holiday sport read book hobbi shop found success predictor social connected older peopl watch tv listen radio spend time behind comput passiv activ associ social connected friend correl posit particip leisur activ partner play role particip cultur activ sport parent play role particip voluntari work holiday sibl play role voluntari work sport children play role cultur activ read book shop local commun use close relationship develop special program increas social connected henc improv qualiti life older adult,0,0
biopsychosoci model religi involv numer studi show religi involv tend favor health longev elderli popul although bodi work made signific contribut understand salutari role religi involv late life addit research need identifi establish theoret empir explan pattern chapter develop biopsychosoci model religi involv health longev model incorpor sever class mechan includ social resourc psycholog resourc healthi behavior biolog marker conclud addit research need establish individu mechan elabor causal model subgroup variat also import futur studi thoroughli explor `` dark side '' religion formal test altern explan includ health select person select genet select social desir,1,0
loneli social support network mood wellb community-dwel elderli object loneli social network link mood wellb howev studi examin factor simultan community-dwel particip aim studi examin relationship social network loneli depress anxieti qualiti life commun dwell older peopl live dublin method one thousand two hundr ninety-nin peopl age 65 recruit primari care practic interview home use gms-agecat social network assess use wenger 's typolog result 35 particip lone 9 describ pain 6 intrus similarli 34 non-integr social network howev two construct distinct 32 particip integr social network report lone loneli higher women widow physic disabl increas age age-rel variabl control associ non-significant.wellb depress mood hopeless independ associ loneli non-integr social network particular loneli explain excess risk depress widow popul attribut risk par associ loneli 61 compar 19 non-integr social network taken togeth par 70 conclus loneli social network independ affect mood wellb elderli underli signific proport depress mood,1,0
effect physic exercis train pain mobil psycholog well-b older person live nurs home pain common age popul particularli among older resid nurs home found 50 older peopl live commun experienc chronic pain number increas 80 older resid nurs home exercis effect non-pharmacolog intervent reduc pain improv physic psycholog function quasi-experiment studi pretest-posttest control group design conduct evalu effect physic exercis program pep older resid nurs home chronic pain three-hundred-ninety-six older resid chronic pain recruit 10 nurs home run non-government organ hong kong averag age older resid 85.44±6.29 five nurs home random experiment group pep n=225 age=85.45±6.25 five nurs home random control group without pep n=171 age=85.44±6.35 pep eight-week train program given physiotherapist nurs week consist warm-up exercis muscl strengthen stretch balanc self-administ massag acupressur point end pep session pamphlet pictur illustr `` exercis day '' given older resid nurs home tool enhanc self-manag skill control group receiv train eight week upon complet pep experiment group experienc significantli greater reduct pain intens 4.19±2.25 11 point scale 2.67±2.08 compar control group p .05 addit psycholog well-b happi loneli life satisfact depress experiment group significantli improv p .05,1,0
promot mental health wellb amongst housebound older peopl england health promot import role play deliv aim new health social care modernis programm two health promot strategi evid recent polici document concern provis good qualiti inform encourag greater social particip provid inform health issu intend empow peopl promot independ help becom stay healthi encourag social particip intend reduc social isol stress build social capit promot mental health wellb paper present find qualit sociolog studi age well project housebound older peopl relev polici goal find reveal older peopl valu particip project enhanc sens wellb argu group peopl 'feel happi maintain posit sens wellb transitori experi involv rang strategi 'manag inform lesson health promot studi suggest provid health-rel inform may conflict rather complement effort promot mental health compromis way peopl difficult circumst construct sens wellb strive feel happi,1,0
age well learn onlin immers particip use multi-us web 3d environ second life sl multi-us virtual environ offer research opportun experi rich commun virtual collabor 3-d content creation integr tool sl synthet world alreadi reveal great potenti heritag educ learn much exist applic made focus engag digit nativ audienc contribut paper identifi import develop design tailor virtual place older member societi util easili safe within context focus applic address social isol enabl wellb lifelong learn paper also discuss experi introduc sl elderli commun impart skill requir interact within 3d environ resourc develop support induct train paper explor impact approach signpost next step experi use sl domest digit technolog tool offer potenti support age well inform societi believ first research conduct small scale pilot studi kind two elder member societi age 75,1,0
grief older peopl make break emot bond follow partner loss later life aim ethnograph studi explor retrospect grief experi 12 older peopl whose partner recent die hospit follow period termin ill rational base upon develop understand grief experi newli bereav older peopl import consid grief shape cultur social context also natur relationship mourner deceas centuri domin conceptu relat grief social experi bereav base psychoanalyt school thought process said involv mourner pass number stage phase form basi 'grief work hypothesi use in-depth ethnograph interview mourner 's reaction percept loss explor tape-record interview data analys use induct process content analysi discours evalu find studi shed light area conjug bereav receiv littl attent past challeng tradit model grief indic first year bereav bereav retain modifi emot relationship deceas partner rang symbol behaviour discuss rais issu concern need consid extent contemporari conceptu grief explain reaction older peopl whose grief experi shape social situat studi also highlight import issu concern need understand complex grief experi bereav support older peopl number implic nurs hospit commun set,1,0
situat elderli women psycholog social aspect die situat der alteren frau psychologisch und sozial aspekt base upon analysi empir sociolog psycholog research situat older women today 's societi describ becom evid differenti view necessari noth like old woman today cohort-effect besid marriage-statu occup seem mark influenc form adapt cope age four topic discuss paper chang understand femal role influenc noncontinu way situat like war econom depress present seem come back tradit form imag old women far neg imag old men besid age seem begin women 10-15 year earlier men may explain fact mother role glorifi societi soon task relat role fulfil gener forti woman done servic longer need effect neg compon imag age woman behavior discuss statist figur clearli show disadvantag singl older women cope accumul manifold disadvantag found widow housew employ job long time research seem unawar psychic situat older women recent studi show howev harder old woman success life regard social interact isol loneli aptitud social profession compet regard hobbi interest housew profession train particularli widow group seem endur obviou disadvantag proposit occup activ good geroprophylaxi receiv new support,1,0
